Category,Example,Real-World Use Case
AI in Social Media,"Instagram, TikTok","Personalized recommendations, AI-generated filters"
AI in Shopping,"Amazon, Flipkart","Chatbots, personalized ads, voice search"
AI in Entertainment,"Netflix, Spotify","Content recommendations, AI-generated music"
AI in Smart Homes,"Alexa, Google Home","Voice assistants, automated lighting"
AI in Healthcare,"Apple Watch, Fitbit","AI-powered health tracking, early disease detection"
AI in Finance,"PayPal, Google Pay","Fraud detection, automated trading"
AI in Travel,"Google Maps, Uber","Route optimization, AI-based pricing"
AI in Education,"Duolingo, Byjuâ€™s","Personalized learning, AI tutors"
AI in Security,"Face ID, CAPTCHA","Biometric authentication, AI-powered security"
AI in Customer Support,"ChatGPT, Bard",AI-driven customer service and query resolution
